30,green,None,None,None,left,0.5
29,red,None,None,None,forward,-1
28,red,None,None,None,None,1
27,red,None,None,None,None,1
26,red,None,None,None,left,-1
25,green,None,None,None,right,2
24,green,None,None,None,None,1
23,green,None,None,None,right,2
22,green,None,None,None,right,0.5
21,red,None,None,None,None,1
20,green,None,None,None,right,0.5
19,red,None,None,None,None,1
18,red,None,None,None,None,1
17,red,None,None,None,left,-1
16,red,None,None,None,None,1
15,green,None,None,None,right,2
14,red,None,None,None,None,1
13,red,None,None,None,None,1
12,green,None,None,None,right,2
11,green,None,None,None,forward,2
10,green,None,None,None,left,0.5
9,red,None,None,None,None,1
8,red,None,None,None,None,1
7,red,None,None,None,None,1
6,red,None,None,None,None,1
5,green,None,None,None,right,2
4,red,None,None,None,left,-1
3,red,None,None,None,None,1
2,green,None,None,None,forward,2
1,green,None,None,None,None,1
0,red,None,None,None,None,1
45,green,None,None,None,right,2
44,green,None,None,None,right,2
43,red,None,None,None,None,1
42,green,None,None,None,forward,2
41,red,forward,None,None,None,1
40,green,None,None,None,forward,2
39,red,None,None,None,None,1
38,red,None,None,None,None,1
37,red,None,None,None,None,1
36,green,None,None,None,forward,2
35,green,None,None,None,forward,2
34,red,None,None,None,None,1
33,red,None,None,None,None,1
32,red,None,None,None,None,1
31,red,None,None,None,None,1
30,green,None,None,None,forward,2
29,green,None,None,None,forward,2
28,red,None,None,None,None,1
27,red,None,None,None,None,1
26,red,None,None,None,None,1
25,green,None,None,None,left,0.5
24,green,None,None,None,right,2
23,red,None,None,None,None,1
22,red,None,None,None,None,1
21,green,None,None,None,forward,2
20,red,None,None,None,None,1
19,red,None,None,None,None,1
18,red,None,None,None,None,1
17,red,None,None,None,None,1
16,red,None,None,None,None,1
15,green,left,None,None,forward,2
14,red,None,None,None,None,1
13,red,None,None,None,None,1
12,green,None,None,None,forward,2
11,red,None,None,None,None,1
10,green,None,None,None,forward,2
9,green,None,None,None,forward,2
8,red,None,None,None,None,1
7,red,None,None,None,None,1
6,red,None,None,None,None,1
5,green,None,None,None,forward,2
4,green,None,None,None,forward,2
3,green,None,None,None,right,2
2,red,None,None,None,left,-1
1,red,None,None,None,None,1
0,green,None,None,None,forward,2
20,red,None,None,None,None,1
19,red,None,None,None,None,1
18,red,None,None,None,None,1
17,red,None,None,None,left,-1
16,green,None,None,None,right,2
15,green,None,None,None,right,2
14,red,None,None,None,None,1
13,red,None,None,None,None,1
12,red,None,None,None,None,1
11,red,None,None,None,None,1
10,green,None,None,None,forward,2
9,red,None,None,None,None,1
8,green,None,None,None,None,1
7,green,None,None,None,None,1
6,green,None,None,None,None,1
5,red,None,None,None,None,1
4,red,None,None,right,None,1
3,red,None,None,None,None,1
2,green,None,None,None,None,1
1,green,None,None,None,None,1
0,green,None,None,None,None,1
20,green,None,None,None,forward,2
19,green,None,None,None,forward,2
18,green,None,None,None,forward,2
17,green,None,None,None,right,12
20,red,None,None,None,None,1
19,red,None,None,None,None,1
18,red,None,None,None,None,1
17,red,None,None,None,None,1
16,red,None,None,None,None,1
15,green,None,None,None,None,1
14,green,None,None,None,right,2
13,red,None,None,None,None,1
12,red,None,None,None,left,-1
11,green,None,None,None,None,1
10,green,None,None,None,None,1
9,green,None,None,None,None,1
8,red,None,None,None,None,1
7,red,None,None,None,None,1
6,red,None,None,None,None,1
5,green,None,None,None,None,1
4,green,None,None,None,None,1
3,green,None,None,None,None,1
2,red,None,None,None,None,1
1,red,None,None,None,None,1
0,red,None,None,None,None,1
30,red,None,None,None,None,1
29,red,None,None,None,None,1
28,red,None,None,None,None,1
27,red,None,None,None,None,1
26,red,None,None,None,None,1
25,green,None,None,forward,right,2
24,green,None,None,None,right,2
23,red,None,None,None,None,1
22,green,None,None,None,forward,2
21,green,None,None,None,forward,2
20,green,None,None,None,forward,2
19,green,None,None,None,forward,2
18,green,None,None,None,forward,2
17,red,None,None,None,None,1
16,red,None,None,None,None,1
15,red,None,None,None,None,1
14,green,None,None,None,right,12
35,green,None,None,None,None,1
34,green,None,None,None,None,1
33,green,None,None,None,None,1
32,red,None,None,None,None,1
31,red,None,None,None,None,1
30,red,None,None,None,None,1
29,green,None,None,None,None,1
28,green,None,None,None,None,1
27,green,None,None,None,None,1
26,red,None,None,None,None,1
25,red,None,None,None,None,1
24,red,None,None,None,None,1
23,green,None,None,None,left,2
22,green,None,None,None,forward,2
21,red,None,None,None,None,1
20,green,None,None,None,forward,2
19,green,None,None,None,forward,2
18,green,None,None,None,forward,2
17,red,None,None,None,None,1
16,red,None,None,None,None,1
15,green,None,None,None,forward,2
14,green,None,None,None,right,12
35,red,None,None,None,None,1
34,red,None,None,None,None,1
33,red,None,None,None,None,1
32,red,None,None,None,None,1
31,red,None,None,None,None,1
30,green,None,None,None,right,2
29,red,None,None,None,None,1
28,red,None,None,None,None,1
27,red,None,None,None,None,1
26,red,None,None,None,forward,-1
25,green,None,None,None,forward,2
24,red,None,None,None,None,1
23,green,None,None,None,forward,2
22,red,None,None,None,None,1
21,red,None,None,None,right,0.5
