None,None,None,None,red,forward,-1.0,0
None,None,None,right,red,left,-1.0,1
None,None,None,forward,red,forward,-1.0,2
None,None,None,right,red,None,0.0,3
None,None,None,None,red,right,-0.5,4
None,None,None,None,red,right,-0.5,5
None,None,None,left,red,left,-1.0,6
None,None,None,None,red,left,-1.0,7
None,None,None,right,red,None,0.0,8
None,None,None,left,green,forward,-0.5,9
None,None,None,None,red,forward,-1.0,10
None,None,None,right,red,forward,-1.0,11
None,None,None,None,green,right,-0.5,12
None,None,None,forward,red,None,0.0,13
None,None,None,left,red,right,-0.5,14
None,None,None,forward,red,forward,-1.0,15
None,None,None,right,red,left,-1.0,16
None,None,None,left,red,left,-1.0,17
None,None,None,forward,red,right,-0.5,18
None,None,None,right,green,None,0.0,19
None,None,None,None,green,forward,-0.5,20
None,None,None,left,red,forward,-1.0,21
None,None,None,forward,red,right,-0.5,22
None,None,None,right,green,right,2.0,23
None,None,None,forward,green,forward,2.0,24
None,None,None,right,red,None,0.0,25
None,None,None,None,red,None,0.0,0
None,None,None,right,red,forward,-1.0,1
None,None,None,None,red,forward,-1.0,2
None,None,None,right,red,forward,-1.0,3
None,None,None,None,red,forward,-1.0,4
None,None,None,right,green,forward,-0.5,5
None,None,None,None,green,right,-0.5,6
None,forward,None,right,green,right,2.0,7
None,None,None,right,green,left,-0.5,8
None,None,None,None,green,right,-0.5,9
None,None,None,None,red,forward,-1.0,10
None,None,None,left,red,forward,-1.0,11
None,None,None,None,green,right,-0.5,12
None,None,None,left,green,left,2.0,13
None,None,None,right,green,right,2.0,14
None,None,None,left,green,forward,-0.5,15
None,None,None,None,green,right,-0.5,16
None,None,None,right,red,right,2.0,17
left,None,None,forward,red,left,-1.0,18
left,None,None,forward,red,right,-0.5,19
None,None,None,None,green,None,0.0,20
None,None,None,None,green,right,-0.5,21
None,None,None,right,red,None,0.0,22
None,None,None,left,red,right,-0.5,23
None,None,None,None,red,forward,-1.0,24
None,None,None,forward,red,left,-1.0,25
None,None,None,forward,red,None,0.0,26
None,None,None,right,red,right,2.0,27
None,None,None,forward,green,forward,2.0,28
None,None,None,None,green,right,-0.5,29
None,None,None,None,green,left,-0.5,30
None,None,None,forward,green,forward,2.0,0
None,None,None,right,red,right,2.0,1
None,None,None,right,red,left,-1.0,2
None,None,None,None,red,left,-1.0,3
None,None,None,forward,green,forward,2.0,4
None,None,None,None,red,right,-0.5,5
None,None,None,None,red,None,0.0,6
None,None,None,None,red,right,-0.5,7
None,None,None,forward,green,forward,2.0,8
None,None,None,right,green,None,0.0,9
None,None,None,None,green,right,-0.5,10
None,None,None,right,red,right,2.0,11
None,None,None,forward,green,left,-0.5,12
None,None,None,None,green,None,0.0,13
None,None,None,None,green,forward,-0.5,14
None,None,None,None,green,left,-0.5,15
None,None,None,forward,red,left,-1.0,16
None,None,None,right,red,left,-1.0,17
None,None,None,left,red,forward,-1.0,18
None,None,None,left,red,forward,-1.0,19
None,None,None,None,green,left,-0.5,20
None,None,None,None,green,forward,-0.5,21
forward,None,None,forward,green,None,0.0,22
None,None,None,right,green,None,0.0,23
None,None,None,None,red,right,-0.5,24
None,None,None,left,red,forward,-1.0,25
None,None,None,right,red,right,2.0,26
None,None,None,right,red,forward,-1.0,27
None,None,None,right,red,None,0.0,28
None,None,None,left,red,forward,-1.0,29
None,None,None,right,green,right,2.0,30
None,None,None,forward,red,None,0.0,31
